編號,日期,時間,震央位置,緯度,經度,相對位置,震度,規模,深度
,2023-04-16,18:44,北緯 22.91 ° 東經 121.08 °, 22.91 , 121.08 ,臺東縣政府北北西方  18.8  公里 ,3級,3.7,12.0
032   ,2023-04-16,11:26,北緯 23.74 ° 東經 121.4 °, 23.74 , 121.4 ,花蓮縣政府西南方  35.7  公里 ,4級,4.3,20.0
,2023-04-14,23:38,北緯 22.52 ° 東經 120.94 °, 22.52 , 120.94 ,臺東縣政府西南方  34.0  公里 ,3級,3.7,11.9
,2023-04-14,11:54,北緯 22.8 ° 東經 121.14 °, 22.8 , 121.14 ,臺東縣政府北方  5.1  公里 ,3級,3.4,5.7
031   ,2023-04-14,11:54,北緯 22.79 ° 東經 121.16 °, 22.79 , 121.16 ,臺東縣政府北北東方  4.1  公里 ,4級,4.2,6.3
,2023-04-12,20:09,北緯 24.18 ° 東經 121.73 °, 24.18 , 121.73 ,花蓮縣政府北北東方  24.0  公里 ,2級,3.2,10.5
,2023-04-10,03:11,北緯 24.85 ° 東經 121.39 °, 24.85 , 121.39 ,新北市政府南南西方  19.0  公里 ,2級,3.5,9.1
,2023-04-10,02:45,北緯 24.32 ° 東經 122.93 °, 24.32 , 122.93 ,宜蘭縣政府東南東方  126.7  公里 ,2級,5.2,43.5
,2023-04-10,02:26,北緯 23.03 ° 東經 121.19 °, 23.03 , 121.19 ,臺東縣政府北方  30.7  公里 ,2級,3.7,10.1
,2023-04-10,01:35,北緯 23.74 ° 東經 121.4 °, 23.74 , 121.4 ,花蓮縣政府西南方  35.1  公里 ,2級,4.0,19.7
030   ,2023-04-09,13:19,北緯 24.64 ° 東經 121.54 °, 24.64 , 121.54 ,宜蘭縣政府西南西方  25.4  公里 ,2級,4.6,62.6
029   ,2023-04-08,20:14,北緯 23.44 ° 東經 121.44 °, 23.44 , 121.44 ,臺東縣政府北北東方  81.3  公里 ,3級,4.7,31.7
,2023-04-08,19:22,北緯 24.3 ° 東經 121.81 °, 24.3 , 121.81 ,花蓮縣政府北北東方  39.2  公里 ,3級,4.1,12.7
,2023-04-08,16:36,北緯 23.27 ° 東經 120.97 °, 23.27 , 120.97 ,臺東縣政府北北西方  59.9  公里 ,4級,4.0,5.1
,2023-04-08,14:36,北緯 24.18 ° 東經 121.72 °, 24.18 , 121.72 ,花蓮縣政府北北東方  23.6  公里 ,3級,3.6,10.7
,2023-04-08,08:56,北緯 23.21 ° 東經 121.35 °, 23.21 , 121.35 ,臺東縣政府北北東方  54.0  公里 ,3級,3.9,17.7
,2023-04-07,23:22,北緯 24.11 ° 東經 121.54 °, 24.11 , 121.54 ,花蓮縣政府北北西方  15.1  公里 ,1級,3.9,59.5
028   ,2023-04-07,18:36,北緯 23.2 ° 東經 121.36 °, 23.2 , 121.36 ,臺東縣政府北北東方  53.3  公里 ,3級,4.7,17.1
027   ,2023-04-06,02:09,北緯 23.3 ° 東經 121.44 °, 23.3 , 121.44 ,臺東縣政府北北東方  66.7  公里 ,4級,4.4,25.9
,2023-04-05,21:32,北緯 24.18 ° 東經 121.73 °, 24.18 , 121.73 ,花蓮縣政府北北東方  23.8  公里 ,3級,3.4,10.9
026   ,2023-04-05,00:34,北緯 23.93 ° 東經 121.46 °, 23.93 , 121.46 ,花蓮縣政府西南西方  17.4  公里 ,4級,4.2,19.9
